Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
vectorized_elementwise_kernel,0.16,10.80,0.03,7.18,100,0,99.60
distribution_elementwise_grid_stride_kernel,75.06,16.93,16.93,56.85,75,45.70,100.35
vectorized_elementwise_kernel,0.06,10.86,0.03,6.09,100,0,99.47
distribution_elementwise_grid_stride_kernel,75.60,18.44,18.44,56.94,75,45.68,100.54
vectorized_elementwise_kernel,0.08,11.39,0.03,7.26,100,0,99.53
distribution_elementwise_grid_stride_kernel,75.41,18.33,18.33,56.65,75,45.68,100.20
vectorized_elementwise_kernel,0.16,10.95,0.04,6.10,100,0,99.89
distribution_elementwise_grid_stride_kernel,72.14,15.45,7.45,56.92,75,45.82,99.68
vectorized_elementwise_kernel,0.16,11.22,0.04,5.74,100,0,99.98
distribution_elementwise_grid_stride_kernel,75.11,17.00,17.00,56.78,75,45.69,99.93
vectorized_elementwise_kernel,0.06,11.16,0.03,6.29,100,0,99.55
distribution_elementwise_grid_stride_kernel,75.55,18.64,18.64,56.92,75,45.68,99.75
vectorized_elementwise_kernel,0.09,11.94,0.04,6.13,100,0,99.53
distribution_elementwise_grid_stride_kernel,75.42,18.37,18.37,56.64,75,45.67,99.99
vectorized_elementwise_kernel,0.16,11.59,0.04,6.41,100,0,100.32
distribution_elementwise_grid_stride_kernel,72.34,15.47,7.69,56.97,75,45.79,100.27
vectorized_elementwise_kernel,0.17,11.61,0.04,6.80,100,0,100.47
distribution_elementwise_grid_stride_kernel,75.23,17.02,17.02,56.72,75,45.70,99.93
vectorized_elementwise_kernel,0.06,11.13,0.04,7.94,100,0,98.16
distribution_elementwise_grid_stride_kernel,75.62,18.44,18.44,56.93,75,45.69,99.68
vectorized_elementwise_kernel,0.07,9.68,0.03,6.19,100,0,98.17
distribution_elementwise_grid_stride_kernel,75.32,18.33,18.33,56.58,75,45.70,99.44
vectorized_elementwise_kernel,0.16,10.95,0.04,5.20,100,0,98.63
distribution_elementwise_grid_stride_kernel,72.23,15.47,7.56,56.99,75,45.81,99.60
vectorized_elementwise_kernel,0.16,11.22,0.03,6.23,100,0,98.06
distribution_elementwise_grid_stride_kernel,75.11,16.96,16.96,56.78,75,45.71,99.36
vectorized_elementwise_kernel,0.06,10.61,0.03,5.93,100,0,98.73
distribution_elementwise_grid_stride_kernel,75.55,18.40,18.40,56.92,75,45.67,99.94
vectorized_elementwise_kernel,0.08,11.34,0.04,5.02,100,0,99.34
distribution_elementwise_grid_stride_kernel,75.30,18.38,18.38,56.64,75,45.70,99.80
vectorized_elementwise_kernel,0.16,10.96,0.04,5.95,100,0,99.39
distribution_elementwise_grid_stride_kernel,71.99,15.42,7.41,56.86,75,45.75,100.00
vectorized_elementwise_kernel,0.16,11.28,0.04,6.36,100,0,100.71
distribution_elementwise_grid_stride_kernel,75.08,17.00,17.00,56.80,75,45.73,100.08
vectorized_elementwise_kernel,0.06,11.16,0.04,7.01,100,0,98.58
distribution_elementwise_grid_stride_kernel,75.56,18.36,18.36,56.97,75,45.71,100.07
vectorized_elementwise_kernel,0.08,11.35,0.03,6.33,100,0,98.08
distribution_elementwise_grid_stride_kernel,75.29,18.36,18.36,56.62,75,45.71,99.67
vectorized_elementwise_kernel,0.16,10.94,0.04,6.14,100,0,98.06
distribution_elementwise_grid_stride_kernel,72.22,15.46,7.44,56.99,75,45.80,99.09
vectorized_elementwise_kernel,0.16,11.17,0.03,6.23,100,0,98.57
distribution_elementwise_grid_stride_kernel,75.10,17.01,17.01,56.90,75,45.69,99.61
vectorized_elementwise_kernel,0.06,11.11,0.03,7.34,100,0,98.22
distribution_elementwise_grid_stride_kernel,75.60,18.37,18.37,56.97,75,45.70,100.19
vectorized_elementwise_kernel,0.08,11.39,0.03,6.78,100,0,99.57
distribution_elementwise_grid_stride_kernel,75.33,18.36,18.36,56.62,75,45.68,100.02
vectorized_elementwise_kernel,0.15,10.52,0.04,6.23,100,0,99.39
distribution_elementwise_grid_stride_kernel,72.17,15.47,7.40,56.97,75,45.81,99.96
vectorized_elementwise_kernel,0.15,10.70,0.03,6.26,100,0,98.71
distribution_elementwise_grid_stride_kernel,75.08,17.01,17.01,56.78,75,45.73,100.10
vectorized_elementwise_kernel,0.06,11.36,0.04,6.88,100,0,99.85
distribution_elementwise_grid_stride_kernel,75.61,18.39,18.39,56.90,75,45.69,99.97
vectorized_elementwise_kernel,0.08,11.39,0.04,6.28,100,0,99.76
distribution_elementwise_grid_stride_kernel,75.37,18.37,18.37,56.67,75,45.70,100.22
vectorized_elementwise_kernel,0.16,11.33,0.04,4.57,100,0,97.57
unrolled_elementwise_kernel,55.89,49.77,49.77,90.27,100,15.20,39.83
unrolled_elementwise_kernel,0.38,5.59,0.37,6.97,100,15.93,92.65
unrolled_elementwise_kernel,0.41,6.00,0.39,6.01,100,16,93.47
unrolled_elementwise_kernel,0.41,5.90,0.39,6.43,100,16.22,91.93
unrolled_elementwise_kernel,0.40,5.84,0.38,5.91,100,16.12,92.31
unrolled_elementwise_kernel,0.40,5.79,0.38,6.42,100,15.97,92.65
unrolled_elementwise_kernel,0.40,5.80,0.38,6.39,100,15.91,93.04
unrolled_elementwise_kernel,0.41,5.88,0.39,6.04,100,16.34,93.45
unrolled_elementwise_kernel,0.40,5.78,0.38,6.20,100,16.16,93.14
unrolled_elementwise_kernel,0.40,5.75,0.38,6.13,100,16.49,92.82
unrolled_elementwise_kernel,0.39,5.76,0.37,6.22,100,15.89,93.04
unrolled_elementwise_kernel,0.40,5.75,0.38,6.59,100,15.86,92.74
unrolled_elementwise_kernel,0.41,5.89,0.39,6.13,100,16.34,93.08
unrolled_elementwise_kernel,0.39,5.70,0.37,5.80,100,15.91,92.46
unrolled_elementwise_kernel,0.40,5.90,0.38,6.65,100,16.07,93.44
unrolled_elementwise_kernel,0.40,5.88,0.38,6.55,100,15.80,93.46
unrolled_elementwise_kernel,0.40,5.76,0.38,6.55,100,16.26,93.36
unrolled_elementwise_kernel,0.39,5.72,0.38,6.21,100,15.52,92.48
unrolled_elementwise_kernel,0.40,5.83,0.38,6.31,100,16.09,92.85
unrolled_elementwise_kernel,0.40,5.84,0.38,6.34,100,15.58,92.59
unrolled_elementwise_kernel,0.40,5.77,0.38,6.17,100,16.15,93.28
unrolled_elementwise_kernel,0.41,5.89,0.39,5.87,100,15.40,93.02
unrolled_elementwise_kernel,0.41,5.90,0.39,6.13,100,15.79,91.53
unrolled_elementwise_kernel,0.39,5.71,0.37,6.24,100,16.00,92.22
unrolled_elementwise_kernel,0.39,5.60,0.37,6.19,100,15.58,92.36
unrolled_elementwise_kernel,0.41,5.91,0.39,6.16,100,15.97,93.62
unrolled_elementwise_kernel,0.40,5.79,0.38,6.96,100,15.86,92.90
unrolled_elementwise_kernel,0.39,5.70,0.37,6.07,100,16.00,93.46
unrolled_elementwise_kernel,0.40,5.83,0.38,6.35,100,16.08,93.33
unrolled_elementwise_kernel,0.40,5.81,0.38,6.14,100,16.16,92.71
unrolled_elementwise_kernel,0.39,5.69,0.37,6.49,100,15.74,93.25
unrolled_elementwise_kernel,0.38,5.57,0.36,6.43,100,15.90,92.54
unrolled_elementwise_kernel,0.40,5.86,0.38,6.21,100,15.57,93.33
unrolled_elementwise_kernel,0.39,5.62,0.37,6.16,100,15.75,92.93
unrolled_elementwise_kernel,0.39,5.62,0.37,6.08,100,15.70,93.13
unrolled_elementwise_kernel,0.40,5.92,0.40,6.34,100,15.81,93.56
unrolled_elementwise_kernel,0.40,5.81,0.38,6.05,100,15.91,93.30
unrolled_elementwise_kernel,0.41,5.88,0.39,6.17,100,16.06,92.40
unrolled_elementwise_kernel,0.41,5.97,0.39,6.51,100,15.83,93.12
unrolled_elementwise_kernel,0.39,5.67,0.37,6.28,100,15.96,92.72
unrolled_elementwise_kernel,0.40,5.82,0.38,5.63,100,15.45,93.42
unrolled_elementwise_kernel,0.39,5.70,0.37,6.16,100,15.81,92.83
unrolled_elementwise_kernel,0.39,5.68,0.37,6.13,100,15.47,91.88
unrolled_elementwise_kernel,0.40,5.74,0.38,6.23,100,15.99,93.28
unrolled_elementwise_kernel,0.39,5.64,0.37,6.39,100,16.25,93.35
unrolled_elementwise_kernel,0.39,5.62,0.37,6.32,100,15.86,92.85
unrolled_elementwise_kernel,0.38,5.67,0.36,6.14,100,16.19,93.88
unrolled_elementwise_kernel,0.39,5.80,0.37,6.83,100,16.01,94.03
unrolled_elementwise_kernel,0.40,5.85,0.38,6.16,100,16.12,91.41
vectorized_elementwise_kernel,24.41,95.94,95.94,62.08,100,0,100.56
vectorized_elementwise_kernel,24.49,96.27,96.27,62.76,100,0,100.35
vectorized_elementwise_kernel,24.49,96.26,96.26,61.21,100,0,100.39
vectorized_elementwise_kernel,24.49,96.21,96.21,62.14,100,0,100.43
vectorized_elementwise_kernel,24.55,96.48,96.48,59.90,100,0,100.06
vectorized_elementwise_kernel,24.57,96.58,96.58,61.39,100,0,100.12
vectorized_elementwise_kernel,24.55,96.50,96.50,63.20,100,0,99.51
