ID,Kernel Name,Compute throughput,SM,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
263,vectorized_elementwise_kernel,14.85,132,66.03,66.03,79.44,100,0,49.76
264,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,77.15,132,73.81,9.18,12.42,12.50,1.12,88.84
265,Kernel,85.42,132,35.02,6.31,12.51,12.50,0,65.67
266,splitKreduce_kernel,16.43,132,38.79,38.79,85.09,100,0,18.97
267,reduce_kernel,7.77,132,30.10,30.10,36.49,56.25,7.41,12.99
268,vectorized_elementwise_kernel,0.01,132,9.18,0.06,5.06,100,0,99.10
269,vectorized_elementwise_kernel,5.44,132,18.14,15.72,39.45,100,0,60.98
270,elementwise_kernel,65.44,132,38.60,38.60,81.68,100,0,58.41
271,sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,84.22,132,58.72,40.30,12.24,12.50,0.04,25.87
272,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,64.54,132,51.33,26.31,12.36,12.50,0.73,92.70
273,vectorized_elementwise_kernel,14.05,132,88.41,88.41,85.00,100,0,48.19
274,vectorized_elementwise_kernel,9.75,132,91.23,91.23,87.95,100,0,35.78
275,softmax_warp_backward,13.52,132,90.62,90.62,51.06,56.25,0,35.15
276,vectorized_elementwise_kernel,0.01,132,11.27,0.04,4.35,100,0,99.54
277,elementwise_kernel,81.61,132,48.72,48.72,85.20,100,15.60,69.40
278,elementwise_kernel,67.46,132,61.17,61.17,86.03,100,11.11,50.46
279,sm80_xmma_gemm_f32f32_f32f32_f32_nt_n_tilesize64x128x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,84.45,132,58.90,40.45,12.25,12.50,0,19.02
280,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize64x64x8_stage3_warpsize1x4x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,76.18,132,86.03,33.47,23.40,25,0,69.51
281,elementwise_kernel,63.37,132,37.34,37.34,81.65,100,0,52.11
282,elementwise_kernel,64.24,132,37.45,37.45,79.63,100,0,53.19
283,CatArrayBatchedCopy,52.46,132,56.69,43.19,83.43,100,0,73.93
284,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x64x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,78.50,132,75.30,9.20,12.44,12.50,3.39,89.08
285,Kernel,83.05,132,34.35,5.80,12.49,12.50,5.50,69.19
286,reduce_kernel,12.54,132,51.80,51.80,49.12,56.25,7.23,10.46
287,vectorized_elementwise_kernel,0.04,132,9.89,0.12,5.60,100,0,98.46
288,vectorized_elementwise_kernel,8.82,132,31.57,31.57,66.98,100,0,55.07
289,layer_norm_grad_input_kernel,52.76,132,66.09,61.23,90.92,100,79.94,41.01
290,GammaBetaBackwardCUDAKernel_32x32,9.34,132,34.93,34.93,49.55,100,0.09,9.30
291,vectorized_elementwise_kernel,11.02,132,76.04,76.04,82.19,100,29.48,39.00
292,vectorized_elementwise_kernel,0.01,132,9.29,0.06,5.89,100,0,98.84
293,vectorized_elementwise_kernel,0.02,132,9.82,0.06,5.18,100,0,99.19
294,vectorized_elementwise_kernel,14.94,132,65.27,65.27,80.86,100,0,51.12
295,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,86.07,132,67.29,7.72,12.43,12.50,11.64,89.90
296,Kernel,85.34,132,35.57,6.21,12.47,12.50,7.08,72.81
297,reduce_kernel,7.99,132,30.88,30.88,36.37,56.25,7.41,11.63
298,vectorized_elementwise_kernel,0.02,132,9.74,0.06,7.69,100,0,99.10
299,vectorized_elementwise_kernel,9.66,132,35.57,35.57,69.11,100,0,53.40
300,vectorized_elementwise_kernel,9.98,132,89.79,89.79,86.31,100,0,37.76
301,vectorized_elementwise_kernel,9.91,132,89.17,89.17,86.43,100,0,37.57
302,vectorized_elementwise_kernel,9.88,132,89.09,89.09,87.54,100,0,36.80
303,vectorized_elementwise_kernel,11.83,132,84.46,84.46,85.10,100,0,52.87
304,vectorized_elementwise_kernel,11.88,132,84.64,84.64,84.39,100,0,52.19
305,vectorized_elementwise_kernel,11.66,132,82.64,82.64,83.07,100,0,52.54
306,vectorized_elementwise_kernel,11.84,132,84.16,84.16,81.89,100,0,53.06
307,vectorized_elementwise_kernel,9.95,132,89.75,89.75,87.01,100,0,36.39
308,vectorized_elementwise_kernel,9.99,132,89.19,89.19,86.44,100,24.41,35.34
309,vectorized_elementwise_kernel,11.90,132,84.39,84.39,83.71,100,0,53.34
310,vectorized_elementwise_kernel,9.92,132,88.63,88.63,86.90,100,24.51,35.53
311,sm80_xmma_gemm_f32f32_f32f32_f32_tn_n_tilesize128x128x8_stage3_warpsize2x2x1_ffma_aligna4_alignc4_execute_kernel__5x_cublas,80.62,132,63.34,30.98,12.49,12.50,10.79,60.50
312,Kernel,85.33,132,35.57,6.98,12.47,12.50,7.08,68.66
313,reduce_kernel,11.79,132,58.67,58.67,51.79,56.25,5.54,7.18
314,vectorized_elementwise_kernel,0.05,132,9.51,0.14,7.36,100,0,98.15
315,vectorized_elementwise_kernel,9.62,132,35.42,35.42,68.41,100,0,53.26
