ground_truth,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate,slowdown
1728,0.04,9.4,0.11,6.08,100.0,0.0,98.57,0.0
5312,8.63,30.91,30.91,67.79,100.0,0.0,55.33,0.0
27425,53.02,66.42,61.5,86.89,100.0,79.87,41.89,0.5852207564369377
46112,9.46,35.41,35.41,49.64,100.0,0.09,9.38,0.0145732130464954
20575,10.62,73.91,73.91,81.78,100.0,29.28,39.68,-0.0030619684082624
1921,0.02,9.81,0.07,4.83,100.0,0.0,99.15,0.0827693909422176
1728,0.01,9.57,0.06,6.39,100.0,0.0,99.1,-0.037037037037037
16448,14.96,66.9,66.9,80.19,100.0,0.0,49.29,0.0758754863813229
775552,86.0,67.24,7.71,12.46,12.5,12.2,89.52,0.0062750486337122
780512,85.24,35.53,6.17,12.48,12.5,7.08,72.11,0.0
22209,8.05,31.13,31.13,35.54,56.25,7.38,11.46,0.0
1536,0.02,9.67,0.06,7.64,100.0,0.0,99.15,0.0
5791,9.69,35.62,35.62,70.48,100.0,0.0,53.24,0.0
97249,9.95,89.64,89.64,85.83,100.0,0.0,37.94,-1.138462503470473
99424,9.95,89.65,89.65,86.93,100.0,0.0,37.02,0.0402317347924042
99968,9.94,89.73,89.73,85.83,100.0,0.0,37.36,0.0006402048655569
67424,11.74,83.57,83.57,82.48,100.0,0.0,52.56,0.0692928334124347
67456,11.83,84.62,84.62,85.13,100.0,0.0,52.74,0.0934535104364326
68640,11.51,81.75,81.75,83.31,100.0,0.0,53.06,0.0298368298368298
68544,11.72,83.06,83.06,83.18,100.0,0.0,52.86,-0.3762213218620782
101152,9.92,89.2,89.2,87.23,100.0,0.0,36.69,0.0
98656,10.08,90.01,90.01,88.05,100.0,24.44,35.26,0.0
68800,11.87,84.33,84.33,83.3,100.0,0.0,53.11,0.0
100064,10.02,89.49,89.49,87.27,100.0,24.49,35.71,0.0
831040,80.51,63.26,30.3,12.5,12.5,10.14,60.52,0.0
781473,85.39,35.6,6.9,12.49,12.5,7.08,69.08,0.0
51680,11.89,59.26,59.26,50.48,56.25,5.57,7.34,0.0
1760,0.05,9.26,0.14,6.44,100.0,0.0,98.21,0.0
6528,9.51,35.0,35.0,67.89,100.0,0.0,52.32,0.0
28640,53.65,67.2,62.38,88.96,100.0,79.81,40.54,-0.7875330785063217
45792,9.38,35.09,35.09,50.44,100.0,0.09,10.72,0.0321453529000698
20896,10.71,74.73,74.73,83.24,100.0,29.32,38.46,-0.0168453292496171
1888,0.02,9.64,0.06,5.79,100.0,0.0,99.1,0.0169491525423728
1792,0.02,9.89,0.06,5.2,100.0,0.0,99.11,0.1785714285714286
17888,14.85,65.97,65.97,81.91,100.0,0.0,49.95,-0.0644007155635062
229600,77.19,73.86,9.24,12.39,12.5,1.66,88.77,0.2474881931018453
192096,85.5,35.05,6.29,12.5,12.5,0.0,63.67,0.0
6496,17.44,41.15,41.15,83.73,100.0,0.0,18.87,0.0
23168,8.0,30.93,30.93,35.62,56.25,7.44,13.67,0.0
1536,0.02,9.73,0.06,6.06,100.0,0.0,99.08,0.0
2688,5.51,18.36,15.9,40.32,100.0,0.0,59.71,0.0
24288,64.3,38.19,38.19,83.75,100.0,0.0,59.15,0.1735495888419427
147904,84.44,58.87,40.45,12.26,12.5,0.04,25.29,0.3052236884989489
218880,64.55,51.38,26.31,12.38,12.5,1.0,92.16,0.0
151328,14.18,89.3,89.3,86.17,100.0,0.0,46.93,0.0
197408,9.75,91.22,91.22,87.5,100.0,0.0,35.63,0.0
197665,13.57,90.93,90.93,50.95,56.25,0.0,35.32,0.0
1760,0.01,10.67,0.03,5.58,100.0,0.0,99.53,0.0
157280,81.66,48.72,48.72,85.28,100.0,15.59,69.29,0.0
181633,67.45,61.1,61.1,86.44,100.0,11.11,50.57,0.0
148416,84.78,59.14,40.6,12.25,12.5,0.0,18.63,0.0
177696,76.1,85.95,33.42,23.4,25.0,0.0,69.54,0.0
23456,64.44,38.17,38.17,81.46,100.0,0.0,52.67,0.0
24864,64.64,38.11,38.11,82.44,100.0,0.0,53.38,0.0
82880,52.42,55.95,43.13,82.69,100.0,0.0,73.03,0.0
665888,78.97,75.76,9.14,12.43,12.5,2.92,84.86,0.0
598817,82.97,34.31,5.75,12.46,12.5,5.5,70.84,0.0
44864,12.12,50.44,50.44,51.82,56.25,7.21,10.15,0.0
1664,0.04,9.57,0.12,6.28,100.0,0.0,98.58,0.0
5216,8.8,31.41,31.41,73.28,100.0,0.0,53.93,0.0
27616,52.85,66.22,61.33,90.63,100.0,79.8,43.8,-0.7068992515110708
46176,9.53,35.69,35.69,50.12,100.0,0.09,10.9,0.0034650034650034
21120,11.02,76.43,76.43,83.4,100.0,29.32,37.94,0.0121212121212121
1952,0.02,9.91,0.07,5.69,100.0,0.0,99.06,-0.0491803278688524
1792,0.02,9.98,0.06,6.17,100.0,0.0,99.02,0.0535714285714285
16736,14.88,65.1,65.1,80.44,100.0,0.0,50.8,0.011472275334608
775072,86.06,67.29,7.71,12.47,12.5,11.44,89.57,0.0176440053302056
779969,85.34,35.57,6.0,12.48,12.5,7.08,73.66,0.0
21473,8.1,31.31,31.31,35.85,56.25,7.41,12.53,0.0
1504,0.01,9.49,0.06,5.84,100.0,0.0,98.98,0.0
5696,9.83,36.21,36.21,69.52,100.0,0.0,54.74,0.0
96896,10.03,90.44,90.44,85.78,100.0,0.0,38.32,-0.1369376019892765
100000,9.94,89.51,89.51,87.73,100.0,0.0,37.04,0.0224
99584,9.92,89.43,89.43,86.67,100.0,0.0,36.74,0.027966339974293
68320,11.69,83.2,83.2,82.12,100.0,0.0,52.37,0.0557377049180327
68864,11.72,83.42,83.42,83.13,100.0,0.0,51.95,0.0209107806691449
67296,11.66,82.92,82.92,83.38,100.0,0.0,52.36,0.1158395440114625
68928,11.78,83.6,83.6,82.48,100.0,0.0,53.3,0.0
100640,9.95,89.47,89.47,87.37,100.0,0.0,36.28,0.0
99104,9.94,88.86,88.86,87.58,100.0,24.44,35.47,0.0
68672,11.64,82.82,82.82,83.25,100.0,0.0,52.98,0.0
100032,9.95,88.92,88.92,87.3,100.0,24.34,35.53,0.0
834241,80.96,63.62,30.62,12.44,12.5,10.88,60.23,0.0
780288,85.31,35.56,6.91,12.48,12.5,7.08,69.75,0.0
52256,11.93,59.37,59.37,52.11,56.25,5.59,7.24,0.0
1728,0.04,8.54,0.13,5.73,100.0,0.0,98.12,0.0
6432,9.83,36.16,36.16,70.14,100.0,0.0,53.04,0.0
28288,53.96,67.6,62.33,89.32,100.0,79.88,40.16,0.3178026018099547
45984,9.37,35.08,35.08,50.28,100.0,0.09,8.85,0.0069589422407794
20480,10.99,75.79,75.79,82.32,100.0,29.47,37.23,0.0234375
1856,0.01,8.79,0.06,5.47,100.0,0.0,99.06,0.0
1792,0.02,9.69,0.06,6.16,100.0,0.0,99.15,0.0535714285714285
17088,14.9,65.4,65.4,78.03,100.0,0.0,48.74,0.0337078651685393
230208,77.14,73.81,9.28,12.42,12.5,6.83,88.39,0.4089236460382679
191904,85.6,35.1,6.29,12.51,12.5,0.0,64.66,0.0
6528,17.16,40.52,40.52,85.41,100.0,0.0,17.63,0.0
23136,7.98,30.86,30.86,35.99,56.25,7.41,13.93,0.0
1536,0.01,9.58,0.06,5.53,100.0,0.0,99.15,0.0
2784,5.38,17.94,15.56,36.41,100.0,0.0,59.87,0.0
23744,65.03,38.99,38.99,82.0,100.0,0.0,54.75,0.0716211012706969
147008,84.2,58.7,40.31,12.28,12.5,0.04,24.12,0.3771887278658325
219584,64.31,51.19,26.22,12.43,12.5,1.02,93.22,0.0
149921,14.15,89.05,89.05,85.8,100.0,0.0,47.23,0.0
197184,9.76,91.37,91.37,87.4,100.0,0.0,35.68,0.0
197504,13.52,90.68,90.68,50.58,56.25,0.0,35.38,0.0
1472,0.01,11.24,0.04,5.51,100.0,0.0,99.56,0.0
158144,81.56,48.65,48.65,85.0,100.0,15.59,69.19,0.0
181376,67.36,61.01,61.01,86.18,100.0,11.11,50.54,0.0
147296,84.62,59.01,40.5,12.21,12.5,0.0,18.6,0.0
176960,75.93,85.75,33.4,23.36,25.0,0.0,69.59,0.0
23360,64.59,38.31,38.31,81.36,100.0,0.0,52.28,0.0
24800,64.92,38.21,38.21,83.59,100.0,0.0,54.48,0.0
82560,52.07,55.99,42.81,82.12,100.0,0.0,72.73,0.0
665665,78.5,75.3,9.16,12.42,12.5,6.31,84.29,0.0
599648,82.96,34.32,5.79,12.49,12.5,5.5,67.74,0.0
43552,11.98,49.73,49.73,50.47,56.25,7.19,10.32,0.0
1760,0.04,9.43,0.12,5.79,100.0,0.0,98.44,0.0
5312,8.84,31.63,31.63,65.74,100.0,0.0,54.19,0.0
28256,52.93,66.23,61.61,88.33,100.0,79.69,41.1,-0.5125141562853908
45696,9.5,35.57,35.57,49.83,100.0,0.09,12.37,0.0217086834733893
20640,10.99,76.16,76.16,82.62,100.0,29.31,38.53,0.0
2016,0.01,9.5,0.06,5.51,100.0,0.0,99.04,0.0
1728,0.01,9.63,0.06,6.19,100.0,0.0,99.19,0.0555555555555555
16960,14.18,61.44,61.44,81.12,100.0,0.0,50.07,0.1169811320754717
775392,86.09,67.31,7.73,12.47,12.5,12.12,90.34,1.947043009482588e-05
780801,85.37,35.58,5.97,12.46,12.5,7.08,72.69,0.0
21535,8.05,31.09,31.09,35.72,56.25,7.41,11.62,0.0
1664,0.02,9.99,0.07,6.25,100.0,0.0,99.17,0.0
5728,9.69,35.77,35.77,67.78,100.0,0.0,54.79,0.0
97408,9.85,88.88,88.88,86.93,100.0,0.0,38.51,-0.6532917520193953
99424,9.92,89.5,89.5,86.99,100.0,0.0,38.42,0.0231835371741229
99713,9.92,89.42,89.42,87.05,100.0,0.0,36.33,0.0705926007641932
66880,11.78,83.86,83.86,82.62,100.0,0.0,52.44,0.0641148325358851
68448,11.63,82.79,82.79,82.09,100.0,0.0,51.67,0.0206020901479623
68960,11.73,83.31,83.31,84.57,100.0,0.0,52.39,0.0
67744,11.87,84.46,84.46,82.67,100.0,0.0,52.9,0.0
102112,9.91,89.24,89.24,86.87,100.0,0.0,36.93,0.0
97568,10.05,89.74,89.74,86.63,100.0,24.19,35.27,0.0
67616,11.61,82.7,82.7,83.21,100.0,0.0,52.82,0.0
100192,9.96,88.98,88.98,87.19,100.0,24.32,35.38,0.0
832832,80.61,63.34,30.52,12.45,12.5,10.7,60.04,0.0
780544,85.28,35.56,6.98,12.48,12.5,7.08,68.86,0.0
51488,11.97,59.66,59.66,50.6,56.25,5.54,7.49,0.0
1632,0.05,9.21,0.14,5.97,100.0,0.0,98.01,0.0
6464,9.83,36.14,36.14,69.6,100.0,0.0,52.83,0.0
28000,52.93,66.14,61.17,89.6,100.0,79.83,41.38,-0.1489714285714286
46368,9.5,35.55,35.55,49.99,100.0,0.09,10.27,0.0248662870945479
20448,10.86,75.59,75.59,81.92,100.0,29.23,37.88,0.001564945226917
1888,0.02,9.82,0.06,7.53,100.0,0.0,99.1,0.0169491525423728
1760,0.02,10.04,0.07,6.78,100.0,0.0,99.02,0.1090909090909091
17248,15.04,66.35,66.35,80.4,100.0,0.0,49.71,0.0798353432282003
229344,77.08,73.73,9.24,12.42,12.5,2.06,87.49,0.0069258042283207
191936,85.47,35.04,6.28,12.51,12.5,0.0,65.01,0.0
6720,16.65,39.3,39.3,92.24,100.0,0.0,18.55,0.0
21952,7.99,30.86,30.86,35.22,56.25,7.41,13.93,0.0
1600,0.01,9.34,0.06,6.08,100.0,0.0,99.01,0.0
2848,5.43,18.11,15.68,40.68,100.0,0.0,61.13,0.0
23680,65.17,38.75,38.75,83.09,100.0,0.0,55.29,0.3269398430688754
147808,84.4,58.84,40.41,12.26,12.5,0.04,23.39,0.4885643964859106
218880,64.26,51.15,26.22,12.43,12.5,0.83,92.79,0.0
150368,14.18,89.21,89.21,85.65,100.0,0.0,47.75,0.0
197631,9.74,91.13,91.13,86.45,100.0,0.0,35.89,0.0
196767,13.51,90.53,90.53,50.97,56.25,0.0,35.43,0.0
1728,0.01,10.88,0.03,5.63,100.0,0.0,99.51,0.0
158592,81.47,48.64,48.64,85.15,100.0,15.6,69.42,0.0
181440,67.66,61.36,61.36,86.33,100.0,11.11,50.6,0.0
147936,84.52,58.96,40.45,12.2,12.5,0.0,20.08,0.0
176832,76.11,85.96,33.42,23.4,25.0,0.0,69.59,0.0
23488,64.58,38.06,38.06,81.66,100.0,0.0,52.9,0.0
25600,64.75,37.78,37.78,81.91,100.0,0.0,53.52,0.0
82816,52.58,57.85,43.21,83.42,100.0,0.0,74.79,0.0
666272,78.51,75.3,9.2,12.43,12.5,7.77,87.43,0.0
599169,83.05,34.35,5.8,12.47,12.5,5.5,68.87,0.0
45216,12.44,51.49,51.49,50.47,56.25,7.19,9.94,0.0
1856,0.04,9.8,0.12,6.11,100.0,0.0,98.67,0.0
5248,8.92,31.85,31.85,67.27,100.0,0.0,54.26,0.0
27392,51.5,64.55,59.97,89.13,100.0,79.77,40.27,0.4855432242990654
47200,9.43,35.35,35.35,50.49,100.0,0.09,8.72,-0.0196610169491525
20320,10.94,76.28,76.28,81.22,100.0,29.43,37.69,0.0755905511811023
1856,0.01,8.86,0.06,6.44,100.0,0.0,99.15,0.0689655172413793
1760,0.02,9.88,0.06,6.05,100.0,0.0,99.17,1.709090909090909
17120,15.05,66.61,66.61,80.46,100.0,0.0,50.47,0.3383177570093458
774880,86.06,67.28,7.71,12.46,12.5,12.4,90.02,0.0126518325646765
780928,85.19,35.51,6.26,12.47,12.5,7.08,71.42,0.0
21633,7.92,30.61,30.61,34.12,56.25,7.45,11.94,0.0
1536,0.02,9.68,0.06,6.25,100.0,0.0,99.09,0.0
6304,9.7,35.64,35.64,73.19,100.0,0.0,52.96,0.0
96672,9.92,89.38,89.38,85.89,100.0,0.0,37.84,-0.0624379344587884
99872,9.87,89.01,89.01,87.77,100.0,0.0,37.12,0.0317206023710349
100256,9.93,89.65,89.65,87.53,100.0,0.0,37.05,0.0638365783593999
67904,11.55,82.25,82.25,82.87,100.0,0.0,52.13,0.0094250706880301
66944,11.57,82.51,82.51,82.64,100.0,0.0,51.95,0.0536162287069137
68960,11.86,84.22,84.22,82.37,100.0,0.0,52.38,0.0
68928,11.66,82.77,82.77,83.83,100.0,0.0,52.74,0.0
100768,9.91,89.33,89.33,87.06,100.0,0.0,36.86,0.0
99168,10.05,89.8,89.8,87.12,100.0,24.43,35.24,0.0
68288,11.81,83.77,83.77,81.78,100.0,0.0,53.0,0.0
100064,9.97,89.11,89.11,86.79,100.0,24.36,35.58,0.0
828929,80.5,63.26,30.26,12.48,12.5,9.94,60.55,0.0
780673,85.34,35.57,6.89,12.48,12.5,7.08,70.41,0.0
51936,11.68,58.08,58.08,53.52,56.25,5.51,7.61,0.0
1728,0.05,9.77,0.15,6.07,100.0,0.0,98.21,0.0
6528,9.27,34.13,34.13,69.11,100.0,0.0,52.99,0.0
28576,52.88,66.23,61.1,87.18,100.0,79.88,40.65,-0.2024197333783738
45280,9.43,35.27,35.27,49.35,100.0,0.09,9.66,0.0416961130742049
20544,11.01,76.65,76.65,83.4,100.0,29.44,38.5,0.0140673676012461
1824,0.01,9.0,0.06,6.64,100.0,0.0,99.21,-0.087719298245614
1728,0.01,9.04,0.06,6.14,100.0,0.0,99.04,0.037037037037037
17568,14.85,66.03,66.03,79.44,100.0,0.0,49.76,0.2094148451730419
229152,77.15,73.81,9.18,12.42,12.5,1.12,88.84,0.0286174422526552
191968,85.42,35.02,6.31,12.51,12.5,0.0,65.67,0.0
6816,16.43,38.79,38.79,85.09,100.0,0.0,18.97,0.0
22688,7.77,30.1,30.1,36.49,56.25,7.41,12.99,0.0
1536,0.01,9.18,0.06,5.06,100.0,0.0,99.1,0.0
2816,5.44,18.14,15.72,39.45,100.0,0.0,60.98,0.0
24224,65.44,38.6,38.6,81.68,100.0,0.0,58.41,-0.3083718626155879
146785,84.22,58.72,40.3,12.24,12.5,0.04,25.87,0.5873591770209668
219263,64.54,51.33,26.31,12.36,12.5,0.73,92.7,0.0
150881,14.05,88.41,88.41,85.0,100.0,0.0,48.19,0.0
197440,9.75,91.23,91.23,87.95,100.0,0.0,35.78,0.0
197408,13.52,90.62,90.62,51.06,56.25,0.0,35.15,0.0
1440,0.01,11.27,0.04,4.35,100.0,0.0,99.54,0.0
157248,81.61,48.72,48.72,85.2,100.0,15.6,69.4,0.0
181280,67.46,61.17,61.17,86.03,100.0,11.11,50.46,0.0
148640,84.45,58.9,40.45,12.25,12.5,0.0,19.02,0.0
176864,76.18,86.03,33.47,23.4,25.0,0.0,69.51,0.0
23840,63.37,37.34,37.34,81.65,100.0,0.0,52.11,0.0
24512,64.24,37.45,37.45,79.63,100.0,0.0,53.19,0.0
81856,52.46,56.69,43.19,83.43,100.0,0.0,73.93,0.0
665953,78.5,75.3,9.2,12.44,12.5,3.39,89.08,0.0
598560,83.05,34.35,5.8,12.49,12.5,5.5,69.19,0.0
44704,12.54,51.8,51.8,49.12,56.25,7.23,10.46,0.0
1728,0.04,9.89,0.12,5.6,100.0,0.0,98.46,0.0
5216,8.82,31.57,31.57,66.98,100.0,0.0,55.07,0.0
27776,52.76,66.09,61.23,90.92,100.0,79.94,41.01,0.3909206784978919
46304,9.34,34.93,34.93,49.55,100.0,0.09,9.3,0.0062197650310988
20704,11.02,76.04,76.04,82.19,100.0,29.48,39.0,0.0896445131375579
1856,0.01,9.29,0.06,5.89,100.0,0.0,98.84,0.1379310344827586
1824,0.02,9.82,0.06,5.18,100.0,0.0,99.19,1.087719298245614
16512,14.94,65.27,65.27,80.86,100.0,0.0,51.12,0.3662790697674418
775168,86.07,67.29,7.72,12.43,12.5,11.64,89.9,0.005583111073547
780833,85.34,35.57,6.21,12.47,12.5,7.08,72.81,0.0
21119,7.99,30.88,30.88,36.37,56.25,7.41,11.63,0.0
1600,0.02,9.74,0.06,7.69,100.0,0.0,99.1,0.0
5824,9.66,35.57,35.57,69.11,100.0,0.0,53.4,0.0
96896,9.98,89.79,89.79,86.31,100.0,0.0,37.76,-0.1018723209230852
99104,9.91,89.17,89.17,86.43,100.0,0.0,37.57,0.0455279302550855
100224,9.88,89.09,89.09,87.54,100.0,0.0,36.8,0.0561941251596424
67392,11.83,84.46,84.46,85.1,100.0,0.0,52.87,0.0389363722697056
68704,11.88,84.64,84.64,84.39,100.0,0.0,52.19,-0.0507221349458842
67552,11.66,82.64,82.64,83.07,100.0,0.0,52.54,0.0
69024,11.84,84.16,84.16,81.89,100.0,0.0,53.06,0.0
100640,9.95,89.75,89.75,87.01,100.0,0.0,36.39,0.0
99296,9.99,89.19,89.19,86.44,100.0,24.41,35.34,0.0
68192,11.9,84.39,84.39,83.71,100.0,0.0,53.34,0.0
99744,9.92,88.63,88.63,86.9,100.0,24.51,35.53,0.0
830465,80.62,63.34,30.98,12.49,12.5,10.79,60.5,0.0
780800,85.33,35.57,6.98,12.47,12.5,7.08,68.66,0.0
51968,11.79,58.67,58.67,51.79,56.25,5.54,7.18,0.0
1856,0.05,9.51,0.14,7.36,100.0,0.0,98.15,0.0
6496,9.62,35.42,35.42,68.41,100.0,0.0,53.26,0.0
27616,53.13,66.49,61.75,90.29,100.0,79.85,40.65,0.8574739281575897
45568,9.46,35.37,35.37,49.92,100.0,0.09,8.79,0.0280898876404494
20928,11.03,76.46,76.46,82.43,100.0,29.31,37.88,0.0092220948012232
2048,0.01,9.57,0.06,5.72,100.0,0.0,99.06,0.203125
1792,0.02,9.83,0.06,6.24,100.0,0.0,99.18,0.125
16992,14.99,65.93,65.93,82.3,100.0,0.0,50.13,0.3032015065913371
229440,77.15,73.82,9.54,12.45,12.5,2.36,88.53,-0.002387385988979
192224,85.6,35.09,6.3,12.51,12.5,0.0,62.16,0.0
7104,16.82,39.7,39.7,81.68,100.0,0.0,20.1,0.0
22561,8.02,30.99,30.99,35.76,56.25,7.33,13.83,0.0
1472,0.02,9.73,0.06,4.95,100.0,0.0,98.99,0.0
2720,5.5,18.37,15.95,39.24,100.0,0.0,62.29,0.0
23743,64.43,38.68,38.68,80.97,100.0,0.0,59.48,0.3998306267711987
147776,84.45,58.88,40.43,12.28,12.5,0.04,25.56,0.5242162751554872
219169,64.5,51.34,26.28,12.35,12.5,0.96,93.16,0.0
149984,14.1,88.76,88.76,86.0,100.0,0.0,47.85,0.0
197184,9.78,91.49,91.49,87.62,100.0,0.0,35.76,0.0
197600,13.55,90.87,90.87,51.0,56.25,0.0,35.44,0.0
1632,0.01,11.09,0.04,5.73,100.0,0.0,99.51,0.0
157952,81.39,48.6,48.6,85.09,100.0,15.6,69.34,0.0
180448,67.41,61.08,61.08,85.86,100.0,11.11,50.68,0.0
148064,84.64,59.04,40.52,12.25,12.5,0.0,19.48,0.0
176928,75.85,85.67,33.32,23.38,25.0,0.0,69.67,0.0
23456,64.39,38.29,38.29,81.39,100.0,0.0,52.38,0.0
24608,63.65,37.77,37.77,80.96,100.0,0.0,53.38,0.0
82048,50.17,53.08,41.23,82.78,100.0,0.0,70.9,0.0
665472,78.55,75.36,9.18,12.41,12.5,3.99,85.44,0.0
599041,82.99,34.33,5.8,12.46,12.5,5.5,68.23,0.0
43648,11.88,49.46,49.46,53.49,56.25,7.2,10.56,0.0
1696,0.04,9.24,0.11,6.08,100.0,0.0,98.51,0.0
5344,8.53,30.51,30.51,68.96,100.0,0.0,55.21,0.0
28320,52.96,66.36,61.57,88.37,100.0,79.81,40.31,-0.1818056035973712
45184,9.51,35.57,35.57,50.25,100.0,0.09,9.76,0.0290368271954674
20576,11.01,76.58,76.58,82.76,100.0,29.24,37.14,0.1866251944012442
1760,0.01,9.26,0.06,6.26,100.0,0.0,99.03,0.509090909090909
1696,0.02,9.68,0.06,7.28,100.0,0.0,99.19,0.0943396226415094
17376,14.07,62.25,62.25,80.93,100.0,0.0,50.65,0.1915285451197054
775137,86.1,67.25,7.7,12.48,12.5,11.86,89.16,-0.0359192443778858
780257,85.32,35.56,6.23,12.47,12.5,7.08,72.19,0.0
21953,8.11,31.37,31.37,36.04,56.25,7.38,11.78,0.0
1568,0.02,9.75,0.06,8.52,100.0,0.0,99.19,0.0
6304,9.71,35.71,35.71,69.18,100.0,0.0,54.23,0.0
95776,9.96,89.91,89.91,86.75,100.0,0.0,37.98,0.9995322418977616
98720,9.93,89.35,89.35,86.53,100.0,0.0,37.21,0.0560777957860615
98496,9.85,88.6,88.6,86.8,100.0,0.0,37.04,0.0721247563352826
66144,11.79,83.82,83.82,82.43,100.0,0.0,52.77,0.03870343492985
69280,11.6,82.5,82.5,82.57,100.0,0.0,52.07,0.0
68768,11.53,81.99,81.99,84.29,100.0,0.0,53.14,0.0
67488,11.71,83.4,83.4,83.57,100.0,0.0,53.28,0.0
101312,9.84,88.9,88.9,85.63,100.0,0.0,36.24,0.0
98816,9.94,88.92,88.92,86.34,100.0,24.16,35.36,0.0
68608,11.76,83.61,83.61,83.63,100.0,0.0,53.06,0.0
100096,10.08,90.08,90.08,87.03,100.0,24.45,35.64,0.0
834817,80.74,63.43,30.18,12.45,12.5,10.37,61.48,0.0
781248,85.33,35.57,6.96,12.47,12.5,7.08,69.08,0.0
51904,11.97,59.56,59.56,50.53,56.25,5.53,7.43,0.0
1952,0.05,9.35,0.14,6.32,100.0,0.0,98.31,0.0
6432,9.74,35.72,35.72,71.23,100.0,0.0,52.04,0.0
27808,52.36,65.58,60.49,88.59,100.0,79.77,39.82,0.5019954539461067
46464,9.44,35.31,35.31,49.45,100.0,0.09,9.3,-0.0048209366391184
20480,11.12,76.89,76.89,82.38,100.0,29.46,38.45,0.104638671875
