Kernel Name,Compute throughput,Memory throughput,DRAM throughput,Achieved occupancy,Maximum occupancy,L1 hit rate,L2 hit rate
DeviceSelectSweepKernel,0.02,8.35,0.21,5.56,100,62.50,96.48
index_elementwise_kernel,0.01,6.92,0.30,3.15,75,0,94.48
vectorized_elementwise_kernel,0.00,9.84,0.03,4.23,100,0,99.56
unrolled_elementwise_kernel,0.01,9.41,0.19,3.96,62.50,0,97.17
reduce_kernel,0.02,6.04,0.34,1.57,50,0,93.23
reduce_kernel,0.02,6.46,0.37,1.57,50,0,93.23
vectorized_elementwise_kernel,0.00,10.36,0.04,4.50,100,0,99.43
vectorized_elementwise_kernel,0.01,9.73,0.05,3.92,100,0,99.20
vectorized_elementwise_kernel,0.02,8.33,0.07,4.38,62.50,0,98.69
vectorized_elementwise_kernel,0.03,8.78,0.04,6.09,100,0,99.06
vectorized_elementwise_kernel,0.03,9.21,0.05,6.00,100,0,99.04
vectorized_elementwise_kernel,0.03,9.27,0.05,5.05,100,0,98.96
unrolled_elementwise_kernel,0.01,9.30,0.19,4.24,100,0,96.97
vectorized_elementwise_kernel,0.00,10.34,0.04,4.49,100,0,99.43
vectorized_elementwise_kernel,0.01,9.86,0.04,4.64,100,0,99.46
vectorized_elementwise_kernel,0.01,9.89,0.05,4.28,100,40,99.20
vectorized_elementwise_kernel,0.01,9.33,0.05,5.25,100,0,98.91
vectorized_elementwise_kernel,0.01,9.72,0.04,4.67,100,0,99.35
vectorized_elementwise_kernel,0.01,9.69,0.05,4.27,100,0,99.25
DeviceReduceSingleTileKernel,0.02,9.14,0.11,11.72,100,0,98.12
DeviceCompactInitKernel,0.01,10.15,0.03,4.46,100,0,99.54
DeviceSelectSweepKernel,0.02,7.83,0.20,6.54,100,62.50,96.26
index_elementwise_kernel,0.01,7.42,0.32,3.46,75,0,94.59
vectorized_elementwise_kernel,0.00,9.77,0.04,4.26,100,0,99.47
unrolled_elementwise_kernel,0.01,9.42,0.19,3.76,62.50,0,97.14
reduce_kernel,0.02,5.95,0.34,1.67,50,0,93.34
reduce_kernel,0.02,6.80,0.39,1.51,50,0,93.29
vectorized_elementwise_kernel,0.00,10.39,0.04,4.35,100,0,99.64
vectorized_elementwise_kernel,0.01,9.50,0.04,4.42,100,0,99.36
vectorized_elementwise_kernel,0.02,8.43,0.07,3.94,62.50,0,98.51
vectorized_elementwise_kernel,0.03,9.28,0.05,6.13,100,0,99.20
vectorized_elementwise_kernel,0.03,9.25,0.05,6.30,100,0,98.94
vectorized_elementwise_kernel,0.03,8.90,0.05,6.00,100,0,98.99
unrolled_elementwise_kernel,0.01,9.32,0.19,4.27,100,0,97.22
vectorized_elementwise_kernel,0.00,10.49,0.04,5.46,100,0,99.39
vectorized_elementwise_kernel,0.01,10.27,0.04,6.02,100,0,99.35
vectorized_elementwise_kernel,0.01,9.84,0.05,5.41,100,40,99.30
vectorized_elementwise_kernel,0.01,9.49,0.05,5.52,100,0,99.47
vectorized_elementwise_kernel,0.01,10.25,0.04,4.59,100,0,99.47
vectorized_elementwise_kernel,0.01,9.62,0.05,4.40,100,0,99.25
DeviceReduceSingleTileKernel,0.02,8.30,0.10,10.66,100,0,98.24
DeviceCompactInitKernel,0.01,9.97,0.03,6.43,100,0,99.38
DeviceSelectSweepKernel,0.02,8.72,0.23,5.68,100,62.50,96.48
index_elementwise_kernel,0.01,7.53,0.33,3.26,75,0,94.37
vectorized_elementwise_kernel,0.00,10.31,0.03,3.65,100,0,99.69
unrolled_elementwise_kernel,0.01,9.68,0.20,3.17,62.50,0,97.01
reduce_kernel,0.02,6.33,0.36,1.60,50,0,93.27
reduce_kernel,0.02,6.32,0.36,1.58,50,0,93.14
vectorized_elementwise_kernel,0.00,9.85,0.04,5.35,100,0,99.32
vectorized_elementwise_kernel,0.01,9.26,0.04,4.33,100,0,99.20
vectorized_elementwise_kernel,0.02,8.44,0.07,3.75,62.50,0,98.60
vectorized_elementwise_kernel,0.03,9.22,0.05,5.39,100,0,99.17
vectorized_elementwise_kernel,0.03,9.07,0.05,6.57,100,0,99.18
vectorized_elementwise_kernel,0.03,8.80,0.05,6.12,100,0,99.18
unrolled_elementwise_kernel,0.01,7.73,0.17,5.75,100,0,96.98
vectorized_elementwise_kernel,0.01,11.33,0.04,6.12,100,0,99.45
kernelHistogram1D,0.04,5.04,0.08,26.58,75,0,97.81
unrolled_elementwise_kernel,0.01,9.18,0.19,5.99,100,0,97.05
unrolled_elementwise_kernel,0.01,8.14,0.18,6.80,100,0,97.07
